name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, Italy",2007-02-06T04:00:00,-5.1,-11.8,-5.2,99.53,0,0,,0,39,,20.8,218,,47.7,2.7,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-06T05:00:00,-5.2,-11.7,-5.3,99.67,0,0,,0,39,,19.2,215,1006.9,90,0.1,,,,,Partially cloudy,fog,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-06T06:00:00,-4.9,-12.6,-5,99.54,0,0,,0,39,,27.4,207,1006.9,90,0.1,,,,,Partially cloudy,fog,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-06T07:00:00,-4.8,-12.1,-4.9,99.03,0,0,,0,39,,25.1,205,,100,0.1,,,,,Overcast,fog,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T08:00:00,-4.8,-12.3,-4.9,98.95,0,0,,0,39,,26.7,217,1007,84.1,0.1,,,,,Partially cloudy,fog,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T09:00:00,-4.8,-11.8,-5,98.51,0,0,,0,39,,23.5,217,1007,90,0.4,,,,,Partially cloudy,fog,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T10:00:00,-4.4,-10.8,-4.6,98.28,0,0,,0,39,,20.2,207,,96.6,0.4,,,,,Overcast,fog,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T11:00:00,-4.3,-12.1,-4.5,98.15,0,0,,0,39,,30.8,220,1006.6,94.2,0.5,,,,,Overcast,fog,"16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T12:00:00,-3.6,-11.3,-3.8,98.08,0,0,,0,39,,31.9,223,1006.4,94.2,1.4,,,,,Overcast,cloudy,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T13:00:00,-3.3,-7.3,-4.4,92.16,0.016,100,snow,0,39,,10.1,220,,95.8,0.8,,,,,"Snow, Overcast",snow,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T14:00:00,-2.6,-9.3,-2.8,98.64,0,0,,0,39,,25,210,1004.9,90,0.5,,,,,Partially cloudy,fog,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T15:00:00,-3.1,-10,-3.2,99.24,0,0,,0,39,,25.8,203,1003.1,94.2,0.2,,,,,Overcast,fog,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T16:00:00,-3.4,-10.4,-3.5,99.35,0,0,,0,39,,25.7,213,,100,0,,,,,Overcast,cloudy,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T17:00:00,-3.3,-10.2,-3.4,99.36,0,0,,0,39,,25.6,195,1002.7,90,0,,,,,Partially cloudy,partly-cloudy-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T18:00:00,-4.1,-11,-4.2,99.12,0,0,,0,39,,24,203,1002.1,90,0,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-06T19:00:00,-4.5,-11.6,-4.6,99.46,0,0,,0,39,,24.6,196,,100,0,,,,,Overcast,cloudy,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-06T20:00:00,-4.6,-12.9,-4.7,99.79,0,0,,0,39,,34,219,1005.1,90,0,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-06T21:00:00,-4.8,-12.5,-4.8,99.79,0,0,,0,39,,28.5,218,1005.1,90,1,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-06T22:00:00,-4.8,-11.4,-4.9,99.43,0,0,,0,39,,20.7,208,,100,0,,,,,Overcast,cloudy,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-06T23:00:00,-5,-11.8,-5,99.79,0,0,,0,39,,21.5,200,1005.1,90,0,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-07T00:00:00,-4.8,-11.5,-4.8,99.79,0,0,,0,39,,21.5,220,1004.1,90,0,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-07T01:00:00,-5,-11.6,-5,99.45,0.01,100,snow,0,39,,20.8,239,,100,0,,,,,"Snow, Overcast",snow,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-07T02:00:00,-5,-9.6,-5,99.79,0,0,,0,39,,10.9,239,1004.1,90,0,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-07T03:00:00,-4.8,-4.8,-4.8,99.79,0,0,,0,39,,1.8,23,1004.1,90,0,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
